"keys","en","cn"
"NKKA","The Witch throws a love potion on the target, slowing it by 32% and increasing its item chance by 25.6%. The potion lasts 7 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.38% slow
+0.3% item drop chance
","女巫对敌方目标投掷爱情药剂，使其减速32%并提升25.6%物品获取率。药水效果持续7秒。

[color=ORANGE]等级加成：[/color]
+0.38% 减速效果
+0.3% 物品掉落几率"
"2RWU","Love Potion","爱情药剂"
"5W0J","The Witch throws a love potion on the target, applying a slow and increasing target's item chance.
","女巫对敌方目标投掷爱情药剂，施加减速效果并提升其物品获取率。"
"LPMH","The Witch throws a love potion on the target, slowing it by 36% and increasing its item chance by 28.8%. The potion lasts 7 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.38% slow
+0.3% item drop chance
","女巫对敌方目标投掷爱情药剂，使其减速36%并提升28.8%物品获取率。药水效果持续7秒。

[color=ORANGE]等级加成：[/color]
+0.38% 减速效果
+0.3% 物品掉落几率"
"PGTK","Love Potion","爱情药剂"
"ZUOL","The Witch throws a love potion on the target, applying a slow and increasing target's item chance.
","女巫对敌方目标投掷爱情药剂，施加减速效果并提升其物品获取率。"
"G4J6","The Witch throws a love potion on the target, slowing it by 42% and increasing its item chance by 33.6%. The potion lasts 7 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.38% slow
+0.3% item drop chance
","女巫对敌方目标投掷爱情药剂，使其减速42%并提升33.6%物品获取率。药水效果持续7秒。

[color=ORANGE]等级加成：[/color]
+0.38% 减速效果
+0.3% 物品掉落几率"
"DKNR","Release Energy","能量释放"
"JMWD","Deals damage to the target and stuns it.
","对目标造成伤害并使其眩晕。"
"BITA","Deals 4000 damage to the attacked creep and stuns it for 3 seconds (1 seconds on bosses).
 
[color=ORANGE]Level Bonus:[/color]
+150 damage
","对被攻击的敌方单位造成4000点伤害并眩晕3秒（对首领眩晕1秒）。

[color=ORANGE]等级加成：[/color]
+150 伤害"
"X6WE","Release Energy","能量释放"
"B19O","Deals damage to the target and stuns it.
","对目标造成伤害并使其眩晕。"
"T3XS","Deals 12000 damage to the attacked creep and stuns it for 5 seconds (1.75 seconds on bosses).
 
[color=ORANGE]Level Bonus:[/color]
+450 damage
","对被攻击的敌方单位造成12000点伤害并眩晕5秒（对首领眩晕1.75秒）。

[color=ORANGE]等级加成：[/color]
+450 伤害"
"1WTR","Thunderstorm","雷霆风暴"
"T4IJ","Zeus releases a mighty thunderstorm, this thunder storm strikes creeps in range and stuns them.
","宙斯召唤强力雷云，轰击范围内敌方单位并造成眩晕。"
"9JC8","Zeus releases a mighty thunderstorm, this thunder storm strikes creeps in 1000 range for 2500 spell damage and stuns them for 0.5 seconds (20% chance on bosses). There is a maximum of 20 lightning strikes.
 
[color=ORANGE]Level Bonus:[/color]
+125 damage
+1 lightning strike per 5 levels
","宙斯召唤持续10秒的雷云，对1000范围内的敌方单位造成2500点法术伤害并眩晕0.5秒（对首领单位20%几率触发眩晕）。最多进行20次闪电轰击。

[color=ORANGE]等级加成：[/color]
+125 伤害
每5级+1次闪电轰击"
"YDBK","Stim","兴奋剂"
"6TUS","This marine uses a stim, increasing its attack speed and decreasing its attack damage.
","陆战队员使用兴奋剂，提升攻击速度但降低攻击力。"
"ZILH","This marine uses a stim, increasing its attack speed by 150% and decreasing its attack damage by 50%. This buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.08 seconds duration
","陆战队员使用兴奋剂，攻击速度提升150%但攻击力降低50%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+0.08秒 持续时间"
"Z8MV","Stim","兴奋剂"
"9OD5","This marine uses a stim, increasing its attack speed and decreasing its attack damage.
","陆战队员使用兴奋剂，提升攻击速度但降低攻击力。"
"FNLW","This marine uses a stim, increasing its attack speed by 150% and decreasing its attack damage by 50%. This buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.08 seconds duration
","陆战队员使用兴奋剂，攻击速度提升150%但攻击力降低50%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+0.08秒 持续时间"
"BAMJ","Energy Conversion","能量转化"
"4O1K","Spawns 3 chain lightning orbs that fly around the Converter. Orbs deal spell damage and stun nearby units.
","生成3枚环绕自身的闪电法球，造成法术伤害并眩晕附近单位。"
"THRB","Spawns 3 orbs that last 12 seconds flying around the Converter. Each orb deals 1500 spell damage per second to random units in 650 range. Additionally, the orbs have a 25% chance every second to cast a [color=GOLD]Chain Lightning[/color] that deals 1500 initial spell damage and hits up to 4 targets dealing 25% less damage with each bounce.
 
Units hit by the [color=GOLD]Chain Lightning[/color] are stunned for 0.8 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+75 orb damage
+1 orb spawned per 5 levels
","生成3枚持续12秒的闪电法球环绕自身。每枚法球每秒对650范围内的随机单位造成1500点法术伤害，并有25%几率施放[color=GOLD]连锁闪电[/color]造成1500点初始法术伤害，最多弹射4个目标，每次弹射伤害衰减25%。

被[color=GOLD]连锁闪电[/color]击中的单位将眩晕0.8秒。

[color=ORANGE]等级加成：[/color]
+75 法球伤害
每5级+1枚法球"
"YK63","Lightmare","闪电梦魇"
"UDMU","Summons a storm cloud which attacks units in range, dealing spell damage.
","召唤雷云攻击范围内单位，造成法术伤害。"
"KDRX","Summons a storm cloud which attacks units in 1500 range. Every 0.33 seconds the cloud attacks up to 3 targets with forked lightning. Each lightning deals 1300 spell damage. [color=GOLD]Lightmare[/color] lasts 10 seconds and does not benefit from buff duration stat.
 
[color=ORANGE]Level Bonus:[/color]
+52 spell damage
","召唤持续10秒的雷云，每0.33秒对1500范围内至多3个目标发动分叉闪电攻击，每次造成1300点法术伤害。此效果不受增益状态持续时间属性影响。

[color=ORANGE]等级加成：[/color]
+52 法术伤害"
"63MN","Sunlight Burst","日耀冲击"
"GHQ4","Stuns all towers and creeps in range.
","眩晕范围内所有防御塔和敌方单位。"
"YHAM","Stuns all towers and all enemies in 1000 range for 1.5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.02 seconds
","使1000范围内的所有防御塔和敌方单位眩晕1.5秒。

[color=ORANGE]等级加成：[/color]
+0.02秒"
"CDGY","Recreation Field","重塑区域"
"ZXU1","Set up [color=GOLD]Recreation Field[/color] at a chosen location.
","在指定位置部署[color=GOLD]重塑区域[/color]。"
"FU01","Set up [color=GOLD]Recreation Field[/color] at a chosen location. Creeps walking over [color=GOLD]Corruption Field[/color] will sometimes get transported to [color=GOLD]Recreation Field[/color]. Field has 250 AoE.
","在指定位置部署[color=GOLD]重塑区域[/color]。经过[color=GOLD]腐化区域[/color]的敌方单位有几率被传送至重塑区域。区域范围为250。"
"X7CK","Corruption Field","腐化区域"
"54N9","Set up [color=GOLD]Corruption Field[/color] at a chosen location.
","在指定位置部署[color=GOLD]腐化区域[/color]。"
"3O3Z","Set up [color=GOLD]Corruption Field[/color] at a chosen location. Creeps walking over [color=GOLD]Corruption Field[/color] will sometimes get transported to [color=GOLD]Recreation Field[/color]. Field has 250 AoE.
","在指定位置部署[color=GOLD]腐化区域[/color]。经过此区域的敌方单位有几率被传送至[color=GOLD]重塑区域[/color]。区域范围为250。"
"R6E2","Concussive Bombs","震荡炸弹"
"ZJ3B","Equips the tower with concussive bombs.
","为防御塔装备震荡炸弹。"
"VQ35","Equips the tower with concussive bombs. Each attack slows all the creeps in a 250 area around the target by 15% for 4 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% slow
","为防御塔装备震荡炸弹。每次攻击将使目标250范围内的所有敌方单位减速15%，持续4秒。

[color=ORANGE]等级加成：[/color]
+0.4% 减速效果"
"1PM5","Acid Bombs","酸性炸弹"
"G5PR","Equips the tower with acid bombs.
","为防御塔装备酸性炸弹。"
"PFF7","Equips the tower with acid bombs. Each attack reduces the armor of all the creeps in a 250 area around the target by 10% for 4 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% armor reduction
","为防御塔装备酸性炸弹。每次攻击将降低目标250范围内所有敌方单位10%护甲，持续4秒。

[color=ORANGE]等级加成：[/color]
+0.4% 护甲削弱"
"KBHW","Smoke Bombs","烟雾炸弹"
"6AT5","Equips the tower with smoke bombs.
","为防御塔装备烟雾炸弹。"
"F832","Equips the tower with smoke bombs. Each attack silences all the creeps in a 250 area around the target for 1 second.
 
[color=ORANGE]Level Bonus:[/color]
+0.04 seconds duration
","为防御塔装备烟雾炸弹。每次攻击将使目标250范围内的所有敌方单位沉默1秒。

[color=ORANGE]等级加成：[/color]
+0.04秒 持续时间"
"54RT","Concussive Bombs","震荡炸弹"
"ELJ0","Equips the tower with concussive bombs.
","为防御塔装备震荡炸弹。"
"XXX2","Equips the tower with concussive bombs. Each attack slows all the creeps in a 300 area around the target by 25% for 4 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% slow
","为防御塔装备震荡炸弹。每次攻击将使目标300范围内的所有敌方单位减速25%，持续4秒。

[color=ORANGE]等级加成：[/color]
+0.6% 减速效果"
"I7V4","Acid Bombs","酸性炸弹"
"U6IS","Equips the tower with acid bombs.
","为防御塔装备酸性炸弹。"
"C5IH","Equips the tower with acid bombs. Each attack reduces the armor of all the creeps in a 300 area around the target by 15% for 4 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% armor reduction
","为防御塔装备酸性炸弹。每次攻击将降低目标300范围内所有敌方单位15%护甲，持续4秒。

[color=ORANGE]等级加成：[/color]
+0.6% 护甲削弱"
"P637","Smoke Bombs","烟雾炸弹"
"UGG6","Equips the tower with smoke bombs.
","为防御塔装备烟雾炸弹。"
"6LPB","Equips the tower with smoke bombs. Each attack silences all the creeps in a 300 area around the target for 1.5 second.
 
[color=ORANGE]Level Bonus:[/color]
+0.06 seconds duration
","为防御塔装备烟雾炸弹。每次攻击将使目标300范围内的所有敌方单位沉默1.5秒。

[color=ORANGE]等级加成：[/color]
+0.06秒 持续时间"
"FELI","Soul Link","灵魂链接"
"GK81","Links enemies' souls together. If a linked unit takes damage all other linked units will take a portion of the damage.
","将敌方单位的灵魂相互链接，任一被链接的单位受到伤害时其它链接中的单位将承受部分伤害。"
"DCG5","Links 3 enemies' souls together for 2.5 seconds. If a linked unit takes damage all other linked units will take 12.5% of this damage. This tower does not benefit from damage increasing items or oils.
 
[color=ORANGE]Level Bonus:[/color]
+0.3% damage
+1 target at level 15 and 25
","将3个敌方单位的灵魂链接2.5秒。任一被链接的单位受到伤害时，其它链接中的单位将承受12.5%的伤害。此防御塔不受增伤类物品或油膏加成。

[color=ORANGE]等级加成：[/color]
+0.3% 伤害传导
15级和25级时+1链接目标"
"1S4D","Soul Link","灵魂链接"
"IA2M","Links enemies' souls together. If a linked unit takes damage all other linked units will take a portion of the damage.
","将敌方单位的灵魂相互链接，任一被链接的单位受到伤害时其它链接中的单位将承受部分伤害。"
"PYIW","Links 3 enemies' souls together for 2.5 seconds. If a linked unit takes damage all other linked units will take 15% of this damage. This tower does not benefit from damage increasing items or oils.
 
[color=ORANGE]Level Bonus:[/color]
+0.3% damage
+1 target at level 15 and 25
","将3个敌方单位的灵魂链接2.5秒。任一被链接的单位受到伤害时，其它链接中的单位将承受15%的伤害。此防御塔不受增伤类物品或油膏加成。

[color=ORANGE]等级加成：[/color]
+0.3% 伤害传导
15级和25级时+1链接目标"
"W9AL","Fire Blast","火焰冲击"
"549A","Deals spell damage in a small area with magical flames.
","用魔法火焰对小范围区域造成法术伤害。"
"XGFT","Releases a blast of fire that strikes all targets in 200 AoE around the main target for 60 damage.
 
[color=ORANGE]Level Bonus:[/color]
+3 damage
","向主目标200范围内释放火焰冲击，对范围内所有目标造成60点伤害。

[color=ORANGE]等级加成：[/color]
+3 伤害"
"Q647","Fire Blast","火焰冲击"
"BHHW","Deals spell damage in a small area with magical flames.
","用魔法火焰对小范围区域造成法术伤害。"
"VOLB","Releases a blast of fire that strikes all targets in 200 AoE around the main target for 215 damage.
 
[color=ORANGE]Level Bonus:[/color]
+11 damage
","向主目标200范围内释放火焰冲击，对范围内所有目标造成215点伤害。

[color=ORANGE]等级加成：[/color]
+11 伤害"
"8FBN","Fire Blast","火焰冲击"
"9Z91","Deals spell damage in a small area with magical flames.
","用魔法火焰对小范围区域造成法术伤害。"
"A90C","Releases a blast of fire that strikes all targets in 200 AoE around the main target for 600 damage.
 
[color=ORANGE]Level Bonus:[/color]
+30 damage
","向主目标200范围内释放火焰冲击，对范围内所有目标造成600点伤害。

[color=ORANGE]等级加成：[/color]
+30 伤害"
"YG8E","Fire Blast","火焰冲击"
"N4W7","Deals spell damage in a small area with magical flames.
","用魔法火焰对小范围区域造成法术伤害。"
